"MacroTrends Data Download"
"Gold Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1915-01-01,601.64,19.250
1915-02-01,607.65,19.250
1915-03-01,613.79,19.250
1915-04-01,607.65,19.250
1915-05-01,601.64,19.250
1915-06-01,601.64,19.250
1915-07-01,601.64,19.250
1915-08-01,601.64,19.250
1915-09-01,601.64,19.250
1915-10-01,595.73,19.250
1915-11-01,589.95,19.250
1915-12-01,589.95,19.250
1916-01-01,590.95,19.470
1916-02-01,590.95,19.470
1916-03-01,585.33,19.470
1916-04-01,579.82,19.470
1916-05-01,574.38,19.470
1916-06-01,569.07,19.470
1916-07-01,569.07,19.470
1916-08-01,563.85,19.470
1916-09-01,553.69,19.470
1916-10-01,543.89,19.470
1916-11-01,534.43,19.470
1916-12-01,529.82,19.470
1917-01-01,530.43,19.660
1917-02-01,517.16,19.660
1917-03-01,517.16,19.660
1917-04-01,492.54,19.660
1917-05-01,484.84,19.660
1917-06-01,477.38,19.660
1917-07-01,484.84,19.660
1917-08-01,477.38,19.660
1917-09-01,466.61,19.660
1917-10-01,459.71,19.660
1917-11-01,459.71,19.660
1917-12-01,452.99,19.660
1918-01-01,447.33,19.840
1918-02-01,444.18,19.840
1918-03-01,447.33,19.840
1918-04-01,441.04,19.840
1918-05-01,431.92,19.840
1918-06-01,426.04,19.840
1918-07-01,414.76,19.840
1918-08-01,406.68,19.840
1918-09-01,398.90,19.840
1918-10-01,391.42,19.840
1918-11-01,384.22,19.840
1918-12-01,379.56,19.840
1919-01-01,383.19,20.030
1919-02-01,390.28,20.030
1919-03-01,385.54,20.030
1919-04-01,378.61,20.030
1919-05-01,374.12,20.030
1919-06-01,374.12,20.030
1919-07-01,363.38,20.030
1919-08-01,357.22,20.030
1919-09-01,355.21,20.030
1919-10-01,349.32,20.030
1919-11-01,341.77,20.030
1919-12-01,334.54,20.030
1920-01-01,337.42,20.630
1920-02-01,333.96,20.630
1920-03-01,330.58,20.630
1920-04-01,320.80,20.630
1920-05-01,316.11,20.630
1920-06-01,311.60,20.630
1920-07-01,313.08,20.630
1920-08-01,320.80,20.630
1920-09-01,325.60,20.630
1920-10-01,327.25,20.630
1920-11-01,328.90,20.630
1920-12-01,335.67,20.630
1921-01-01,343.74,20.690
1921-02-01,354.96,20.690
1921-03-01,356.88,20.690
1921-04-01,360.83,20.690
1921-05-01,368.99,20.690
1921-06-01,371.08,20.690
1921-07-01,368.99,20.690
1921-08-01,368.99,20.690
1921-09-01,373.21,20.690
1921-10-01,373.21,20.690
1921-11-01,375.36,20.690
1921-12-01,377.51,20.690
1922-01-01,389.25,20.840
1922-02-01,389.25,20.840
1922-03-01,393.92,20.840
1922-04-01,393.92,20.840
1922-05-01,393.92,20.840
1922-06-01,393.92,20.840
1922-07-01,391.58,20.840
1922-08-01,396.29,20.840
1922-09-01,396.29,20.840
1922-10-01,393.92,20.840
1922-11-01,391.58,20.840
1922-12-01,389.25,20.840
1923-01-01,389.89,20.750
1923-02-01,389.89,20.750
1923-03-01,389.89,20.750
1923-04-01,387.57,20.750
1923-05-01,387.57,20.750
1923-06-01,385.29,20.750
1923-07-01,380.82,20.750
1923-08-01,383.05,20.750
1923-09-01,380.82,20.750
1923-10-01,378.60,20.750
1923-11-01,378.60,20.750
1923-12-01,378.60,20.750
1924-01-01,379.15,20.780
1924-02-01,381.38,20.780
1924-03-01,383.60,20.780
1924-04-01,385.84,20.780
1924-05-01,385.84,20.780
1924-06-01,385.84,20.780
1924-07-01,383.60,20.780
1924-08-01,385.84,20.780
1924-09-01,383.60,20.780
1924-10-01,381.38,20.780
1924-11-01,381.38,20.780
1924-12-01,379.15,20.780
1925-01-01,378.60,20.750
1925-02-01,380.82,20.750
1925-03-01,378.60,20.750
1925-04-01,380.82,20.750
1925-05-01,378.60,20.750
1925-06-01,374.29,20.750
1925-07-01,370.06,20.750
1925-08-01,370.06,20.750
1925-09-01,370.06,20.750
1925-10-01,370.06,20.750
1925-11-01,363.89,20.750
1925-12-01,365.93,20.750
1926-01-01,365.40,20.720
1926-02-01,365.40,20.720
1926-03-01,367.45,20.720
1926-04-01,365.40,20.720
1926-05-01,367.45,20.720
1926-06-01,369.52,20.720
1926-07-01,373.75,20.720
1926-08-01,375.90,20.720
1926-09-01,373.75,20.720
