"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1915-01-01,15.94,0.510
1915-02-01,16.10,0.510
1915-03-01,16.26,0.510
1915-04-01,16.10,0.510
1915-05-01,15.94,0.510
1915-06-01,15.94,0.510
1915-07-01,15.94,0.510
1915-08-01,15.94,0.510
1915-09-01,15.94,0.510
1915-10-01,15.78,0.510
1915-11-01,15.63,0.510
1915-12-01,15.63,0.510
1916-01-01,20.34,0.670
1916-02-01,20.34,0.670
1916-03-01,20.14,0.670
1916-04-01,19.95,0.670
1916-05-01,19.77,0.670
1916-06-01,19.58,0.670
1916-07-01,19.58,0.670
1916-08-01,19.40,0.670
1916-09-01,19.05,0.670
1916-10-01,18.72,0.670
1916-11-01,18.39,0.670
1916-12-01,18.23,0.670
1917-01-01,22.66,0.840
1917-02-01,22.10,0.840
1917-03-01,22.10,0.840
1917-04-01,21.04,0.840
1917-05-01,20.72,0.840
1917-06-01,20.40,0.840
1917-07-01,20.72,0.840
1917-08-01,20.40,0.840
1917-09-01,19.94,0.840
1917-10-01,19.64,0.840
1917-11-01,19.64,0.840
1917-12-01,19.35,0.840
1918-01-01,22.10,0.980
1918-02-01,21.94,0.980
1918-03-01,22.10,0.980
1918-04-01,21.79,0.980
1918-05-01,21.33,0.980
1918-06-01,21.04,0.980
1918-07-01,20.49,0.980
1918-08-01,20.09,0.980
1918-09-01,19.70,0.980
1918-10-01,19.33,0.980
1918-11-01,18.98,0.980
1918-12-01,18.75,0.980
1919-01-01,21.62,1.130
1919-02-01,22.02,1.130
1919-03-01,21.75,1.130
1919-04-01,21.36,1.130
1919-05-01,21.11,1.130
1919-06-01,21.11,1.130
1919-07-01,20.50,1.130
1919-08-01,20.15,1.130
1919-09-01,20.04,1.130
1919-10-01,19.71,1.130
1919-11-01,19.28,1.130
1919-12-01,18.87,1.130
1920-01-01,16.85,1.030
1920-02-01,16.67,1.030
1920-03-01,16.50,1.030
1920-04-01,16.02,1.030
1920-05-01,15.78,1.030
1920-06-01,15.56,1.030
1920-07-01,15.63,1.030
1920-08-01,16.02,1.030
1920-09-01,16.26,1.030
1920-10-01,16.34,1.030
1920-11-01,16.42,1.030
1920-12-01,16.76,1.030
1921-01-01,10.47,0.630
1921-02-01,10.81,0.630
1921-03-01,10.87,0.630
1921-04-01,10.99,0.630
1921-05-01,11.24,0.630
1921-06-01,11.30,0.630
1921-07-01,11.24,0.630
1921-08-01,11.24,0.630
1921-09-01,11.36,0.630
1921-10-01,11.36,0.630
1921-11-01,11.43,0.630
1921-12-01,11.49,0.630
1922-01-01,12.70,0.680
1922-02-01,12.70,0.680
1922-03-01,12.85,0.680
1922-04-01,12.85,0.680
1922-05-01,12.85,0.680
1922-06-01,12.85,0.680
1922-07-01,12.78,0.680
1922-08-01,12.93,0.680
1922-09-01,12.93,0.680
1922-10-01,12.85,0.680
1922-11-01,12.78,0.680
1922-12-01,12.70,0.680
1923-01-01,12.21,0.650
1923-02-01,12.21,0.650
1923-03-01,12.21,0.650
1923-04-01,12.14,0.650
1923-05-01,12.14,0.650
1923-06-01,12.07,0.650
1923-07-01,11.93,0.650
1923-08-01,12.00,0.650
1923-09-01,11.93,0.650
1923-10-01,11.86,0.650
1923-11-01,11.86,0.650
1923-12-01,11.86,0.650
1924-01-01,12.22,0.670
1924-02-01,12.30,0.670
1924-03-01,12.37,0.670
1924-04-01,12.44,0.670
1924-05-01,12.44,0.670
1924-06-01,12.44,0.670
1924-07-01,12.37,0.670
1924-08-01,12.44,0.670
1924-09-01,12.37,0.670
1924-10-01,12.30,0.670
1924-11-01,12.30,0.670
1924-12-01,12.22,0.670
1925-01-01,12.59,0.690
1925-02-01,12.66,0.690
1925-03-01,12.59,0.690
1925-04-01,12.66,0.690
1925-05-01,12.59,0.690
1925-06-01,12.45,0.690
1925-07-01,12.31,0.690
1925-08-01,12.31,0.690
1925-09-01,12.31,0.690
1925-10-01,12.31,0.690
1925-11-01,12.10,0.690
1925-12-01,12.17,0.690
1926-01-01,10.93,0.620
1926-02-01,10.93,0.620
1926-03-01,11.00,0.620
1926-04-01,10.93,0.620
1926-05-01,11.00,0.620
1926-06-01,11.06,0.620
1926-07-01,11.18,0.620
1926-08-01,11.25,0.620
1926-09-01,11.18,0.620
1926-10-01,11.12,0.620
1926-11-01,11.06,0.620
1926-12-01,11.06,0.620
1927-01-01,10.28,0.570
1927-02-01,10.34,0.570
1927-03-01,10.40,0.570
1927-04-01,10.40,0.570
1927-05-01,10.34,0.570
1927-06-01,10.22,0.570
1927-07-01,10.40,0.570
1927-08-01,10.46,0.570
1927-09-01,10.40,0.570
1927-10-01,10.34,0.570
1927-11-01,10.40,0.570
1927-12-01,10.40,0.570
1928-01-01,10.58,0.580
1928-02-01,10.71,0.580
1928-03-01,10.71,0.580
1928-04-01,10.71,0.580
1928-05-01,10.64,0.580
1928-06-01,10.71,0.580
1928-07-01,10.71,0.580
1928-08-01,10.71,0.580
1928-09-01,10.58,0.580
1928-10-01,10.64,0.580
1928-11-01,10.64,0.580
1928-12-01,10.71,0.580
1929-01-01,9.78,0.530
1929-02-01,9.78,0.530
1929-03-01,9.84,0.530
1929-04-01,9.90,0.530
1929-05-01,9.84,0.530
1929-06-01,9.78,0.530
1929-07-01,9.67,0.530
1929-08-01,9.67,0.530
1929-09-01,9.67,0.530
1929-10-01,9.67,0.530
1929-11-01,9.67,0.530
1929-12-01,9.73,0.530
1930-01-01,7.01,0.380
1930-02-01,7.06,0.380
1930-03-01,7.10,0.380
1930-04-01,7.06,0.380
1930-05-01,7.10,0.380
1930-06-01,7.14,0.380
1930-07-01,7.23,0.380
1930-08-01,7.27,0.380
1930-09-01,7.23,0.380
1930-10-01,7.27,0.380
1930-11-01,7.31,0.380
1930-12-01,7.45,0.380
1931-01-01,5.76,0.290
1931-02-01,5.83,0.290
1931-03-01,5.87,0.290
1931-04-01,5.91,0.290
1931-05-01,5.98,0.290
1931-06-01,6.06,0.290
1931-07-01,6.06,0.290
1931-08-01,6.06,0.290
1931-09-01,6.10,0.290
1931-10-01,6.14,0.290
1931-11-01,6.23,0.290
1931-12-01,6.27,0.290
1932-01-01,6.18,0.280
1932-02-01,6.27,0.280
1932-03-01,6.31,0.280
1932-04-01,6.36,0.280
1932-05-01,6.45,0.280
1932-06-01,6.50,0.280
1932-07-01,6.50,0.280
1932-08-01,6.55,0.280
1932-09-01,6.60,0.280
1932-10-01,6.65,0.280
1932-11-01,6.70,0.280
1932-12-01,6.75,0.280
1933-01-01,8.56,0.350
1933-02-01,8.70,0.350
1933-03-01,8.77,0.350
1933-04-01,8.77,0.350
1933-05-01,8.77,0.350
1933-06-01,8.70,0.350
1933-07-01,8.43,0.350
1933-08-01,8.37,0.350
1933-09-01,8.37,0.350
1933-10-01,8.37,0.350
1933-11-01,8.37,0.350
1933-12-01,8.37,0.350
1934-01-01,11.48,0.480
1934-02-01,11.39,0.480
1934-03-01,11.39,0.480
1934-04-01,11.39,0.480
1934-05-01,11.39,0.480
1934-06-01,11.31,0.480
1934-07-01,11.31,0.480
1934-08-01,11.31,0.480
1934-09-01,11.14,0.480
1934-10-01,11.22,0.480
1934-11-01,11.22,0.480
1934-12-01,11.31,0.480
1935-01-01,14.86,0.640
1935-02-01,14.75,0.640
1935-03-01,14.75,0.640
1935-04-01,14.64,0.640
1935-05-01,14.64,0.640
1935-06-01,14.75,0.640
1935-07-01,14.75,0.640
1935-08-01,14.75,0.640
1935-09-01,14.75,0.640
1935-10-01,14.75,0.640
1935-11-01,14.64,0.640
1935-12-01,14.64,0.640
1936-01-01,10.29,0.450
1936-02-01,10.29,0.450
1936-03-01,10.37,0.450
1936-04-01,10.37,0.450
1936-05-01,10.37,0.450
1936-06-01,10.29,0.450
1936-07-01,10.22,0.450
1936-08-01,10.15,0.450
1936-09-01,10.15,0.450
1936-10-01,10.15,0.450
1936-11-01,10.15,0.450
1936-12-01,10.15,0.450
1937-01-01,10.07,0.450
1937-02-01,10.07,0.450
1937-03-01,10.00,0.450
1937-04-01,9.93,0.450
1937-05-01,9.86,0.450
1937-06-01,9.86,0.450
1937-07-01,9.80,0.450
1937-08-01,9.80,0.450
1937-09-01,9.73,0.450
1937-10-01,9.73,0.450
1937-11-01,9.80,0.450
1937-12-01,9.86,0.450
1938-01-01,9.56,0.430
1938-02-01,9.63,0.430
1938-03-01,9.63,0.430
1938-04-01,9.56,0.430
1938-05-01,9.63,0.430
1938-06-01,9.63,0.430
1938-07-01,9.63,0.430
1938-08-01,9.63,0.430
1938-09-01,9.63,0.430
1938-10-01,9.70,0.430
1938-11-01,9.70,0.430
1938-12-01,9.70,0.430
1939-01-01,8.79,0.390
1939-02-01,8.86,0.390
1939-03-01,8.86,0.390
1939-04-01,8.92,0.390
1939-05-01,8.92,0.390
1939-06-01,8.92,0.390
1939-07-01,8.92,0.390
1939-08-01,8.92,0.390
1939-09-01,8.73,0.390
1939-10-01,8.79,0.390
1939-11-01,8.79,0.390
1939-12-01,8.79,0.390
1940-01-01,7.95,0.350
1940-02-01,7.89,0.350
1940-03-01,7.89,0.350
1940-04-01,7.89,0.350
1940-05-01,7.89,0.350
1940-06-01,7.84,0.350
1940-07-01,7.89,0.350
1940-08-01,7.89,0.350
1940-09-01,7.89,0.350
1940-10-01,7.89,0.350
1940-11-01,7.89,0.350
1940-12-01,7.84,0.350
1941-01-01,7.84,0.350
1941-02-01,7.84,0.350
1941-03-01,7.78,0.350
1941-04-01,7.73,0.350
1941-05-01,7.67,0.350
1941-06-01,7.52,0.350
1941-07-01,7.52,0.350
1941-08-01,7.42,0.350
1941-09-01,7.32,0.350
